"engine","track","schema_id","session_id","owner_id","module","structure","byte_class","sharing_scope","retained_estimate_bytes","non_overlapping_reducible_bytes","logical_bytes","item_count","mapped_file_bytes","mapping_mode","evidence_source","notes"
"yune","track-a-comparison","luna_pinyin","88","reverse_lookup.entries","reverse_lookup","entries","shared_or_overlapping","shared_or_overlapping","0","0","0","0","0","lazy_unloaded","yune_m43_memory_owner_profile_json","lazy reverse-lookup dictionary is not retained until used"
"yune","track-a-comparison","luna_pinyin","88","reverse_lookup.comments_index","reverse_lookup","comments_index","shared_or_overlapping","shared_or_overlapping","0","0","0","0","0","lazy_unloaded","yune_m43_memory_owner_profile_json","lazy reverse-comment side index is not retained until used"
"yune","track-a-comparison","luna_pinyin","88","reverse_lookup.config","reverse_lookup","config","heap_owned_required","session_or_process_heap","40","0","0","1","0","ReverseLookupTranslator","yune_m43_memory_owner_profile_json","prefix/suffix/tag/comment-format state for the reverse lookup translator"
"yune","track-a-comparison","luna_pinyin","88","translator.entries_by_code","translator","entries_by_code","shared","shared_reference","0","0","0","0","0","compact_table","yune_m43_memory_owner_profile_json","compact storage path does not retain a translator BTreeMap"
"yune","track-a-comparison","luna_pinyin","88","compact_table.syllabary_codes","compact_table","syllabary_codes","heap_owned_reducible","session_or_process_heap","11573","11573","0","424","0","Vec<String>","yune_m43_memory_owner_profile_json","canonical code list retained for prism lookup"
"yune","track-a-comparison","luna_pinyin","88","compact_table.syllable_ids_by_code","compact_table","syllable_ids_by_code","heap_owned_reducible","session_or_process_heap","15757","15757","0","424","0","HashMap<String, usize>","yune_m43_memory_owner_profile_json","rsmarisa lookup side map retained on heap"
"yune","track-a-comparison","luna_pinyin","88","compact_table.storage","compact_table","storage","mmap_file_backed","file_mapping","13013460","0","0","498564","13013460","byte_backed:mmap","yune_m43_memory_owner_profile_json","rsmarisa table bytes are excluded from heap-owned branch triggers when mapped"
"yune","track-a-comparison","luna_pinyin","88","compact_table.candidate_text_payload","compact_table","candidate_text_payload","shared_or_overlapping","shared_or_overlapping","13013460","0","13013460","498564","0","byte_backed","yune_m43_memory_owner_profile_json","candidate text payload; byte-backed rows overlap compact_table.storage"
"yune","track-a-comparison","luna_pinyin","88","compact_table.candidate_comment_payload","compact_table","candidate_comment_payload","shared_or_overlapping","shared_or_overlapping","0","0","0","498564","0","byte_backed","yune_m43_memory_owner_profile_json","candidate raw comments/code payload; byte-backed rows overlap compact_table.storage"
"yune","track-a-comparison","luna_pinyin","88","compact_table.stems","compact_table","stems","heap_owned_required","session_or_process_heap","48","0","0","0","0","HashMap<String, Vec<String>>","yune_m43_memory_owner_profile_json","retained phrase-code stems needed for lookup records and dictionary panels"
"yune","track-a-comparison","luna_pinyin","88","compact_table.lookup_records","compact_table","lookup_records","shared","shared_reference","0","0","0","0","0","none","yune_m43_memory_owner_profile_json","no lookup-record payload retained for this compact table"
"yune","track-a-comparison","luna_pinyin","88","compact_table.corrections_tolerance","compact_table","corrections_tolerance","heap_owned_required","session_or_process_heap","0","0","0","0","0","Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","yune_m43_memory_owner_profile_json","retained correction/tolerance payload required by TypeDuck fuzzy input behavior"
"yune","track-a-comparison","luna_pinyin","88","compact_table.dict_settings","compact_table","dict_settings","heap_owned_required","session_or_process_heap","24","0","0","0","0","BTreeMap<String, String>","yune_m43_memory_owner_profile_json","retained dictionary settings parsed from deployed dictionary metadata"
"yune","track-a-comparison","luna_pinyin","88","compact_table.preset_vocabulary","compact_table","preset_vocabulary","heap_owned_required","session_or_process_heap","0","0","0","0","0","Vec<PresetVocabularyEntry>","yune_m43_memory_owner_profile_json","retained preset vocabulary weights when the selected dictionary includes vocabulary packs"
"yune","track-a-comparison","luna_pinyin","88","translator.normal_codes","translator","normal_codes","shared","shared_reference","0","0","0","424","0","compact_table.has_code","yune_m43_memory_owner_profile_json","normal code membership delegated to compact storage lookup"
"yune","track-a-comparison","luna_pinyin","88","translator.leading_fetch_seed","translator","leading_fetch_seed","heap_owned_guarded","session_or_process_heap","0","0","0","0","0","Vec<String>","yune_m43_memory_owner_profile_json","source-ordered canonical groups retained for lazy algebra-backed reachability: single-character groups for leading-only use, or every heap/source group when prefix fallback has no current prism; no-algebra paths probe directly"
"yune","track-a-comparison","luna_pinyin","88","translator.spelling_correction_entries","translator","spelling_correction_entries","heap_owned_guarded","session_or_process_heap","48","0","0","0","0","HashSet<(String, String, String)>","yune_m43_memory_owner_profile_json","heap/source correction provenance retained per expanded candidate row"
"yune","track-a-comparison","luna_pinyin","88","translator.spelling_abbreviation_entries","translator","spelling_abbreviation_entries","heap_owned_guarded","session_or_process_heap","48","0","0","0","0","HashSet<(String, String, String)>","yune_m43_memory_owner_profile_json","heap/source abbreviation provenance retained per expanded candidate row"
"yune","track-a-comparison","luna_pinyin","88","translator.spelling_correction_surfaces","translator","spelling_correction_surfaces","heap_owned_guarded","session_or_process_heap","48","0","0","0","0","HashSet<String>","yune_m43_memory_owner_profile_json","heap/source correction surfaces retained for exact and prefix guards"
"yune","track-a-comparison","luna_pinyin","88","translator.leading_fetch_index","translator","leading_fetch_index","heap_owned_guarded","session_or_process_heap","0","0","0","0","0","OnceLock<HashMap<String, Vec<LeadingFetchCode>>>","yune_m43_memory_owner_profile_json","algebra surface spelling to canonical fetch edges, allocated lazily on first indexed reachability lookup; no-algebra paths remain direct"
"yune","track-a-comparison","luna_pinyin","88","translator.prefix_fallback_window_cache","translator","prefix_fallback_window_cache","heap_owned_guarded","session_or_process_heap","0","0","0","0","0","Mutex<Option<Arc<PrefixFallbackWindowCacheEntry>>>","yune_m43_memory_owner_profile_json","single bounded raw prefix window reused across incremental keystrokes; per-call span promotion, ordering, and deduplication remain live"
"yune","track-a-comparison","luna_pinyin","88","prism.double_array_units","prism","double_array_units","mmap_file_backed","file_mapping","7168","0","0","1792","7168","byte_backed:mmap","yune_m43_memory_owner_profile_json","prism double-array units are read directly from the byte source"
"yune","track-a-comparison","luna_pinyin","88","prism.spelling_map","prism","spelling_map","mmap_file_backed","file_mapping","24244","0","0","1166","24244","byte_backed:mmap","yune_m43_memory_owner_profile_json","prism spelling descriptors are read lazily from the byte source"
"yune","track-a-comparison","luna_pinyin","88","prism.corrections_tolerance","prism","corrections_tolerance","heap_owned_required","session_or_process_heap","48","0","0","0","0","Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","yune_m43_memory_owner_profile_json","parsed prism correction/tolerance payload retained on heap"
"yune","track-a-comparison","luna_pinyin","88","prism.tips_payload","prism","tips_payload","mmap_file_backed","file_mapping","0","0","0","0","0","byte_backed:mmap","yune_m43_memory_owner_profile_json","prism descriptor tips remain in the byte source"
