phase,session_id,owner,class,estimated_bytes,item_count,storage,notes
"after_create_session_owner_profile",1,"reverse_lookup.entries","shared_or_overlapping",0,0,"lazy_unloaded","lazy reverse-lookup dictionary is not retained until used"
"after_create_session_owner_profile",1,"reverse_lookup.comments_index","shared_or_overlapping",0,0,"lazy_unloaded","lazy reverse-comment side index is not retained until used"
"after_create_session_owner_profile",1,"reverse_lookup.config","heap_owned_required",40,1,"ReverseLookupTranslator","prefix/suffix/tag/comment-format state for the reverse lookup translator"
"after_create_session_owner_profile",1,"translator.entries_by_code","shared",0,0,"compact_table","compact storage path does not retain a translator BTreeMap"
"after_create_session_owner_profile",1,"compact_table.syllabary_codes","heap_owned_reducible",661218,19975,"Vec<String>","canonical code list retained for prism lookup"
"after_create_session_owner_profile",1,"compact_table.syllable_ids_by_code","shared",0,0,"none","byte-backed compact storage does not retain the rsmarisa syllable map"
"after_create_session_owner_profile",1,"compact_table.storage","mmap_file_backed",4640486,90780,"byte_backed:mmap","table bytes are excluded from heap-owned branch triggers when mapped"
"after_create_session_owner_profile",1,"compact_table.candidate_text_payload","shared_or_overlapping",351770,70805,"table_bin_byte_refs","candidate text payload; byte-backed rows overlap compact_table.storage"
"after_create_session_owner_profile",1,"compact_table.candidate_comment_payload","shared_or_overlapping",344792,70805,"table_bin_byte_refs","candidate raw comments/code payload; byte-backed rows overlap compact_table.storage"
"after_create_session_owner_profile",1,"compact_table.stems","heap_owned_required",48,0,"HashMap<String, Vec<String>>","retained phrase-code stems needed for lookup records and dictionary panels"
"after_create_session_owner_profile",1,"compact_table.lookup_records","shared_or_overlapping",5536453,70805,"byte_backed_lookup_payload(byte_backed; mmap; index_bytes=2486376)","dictionary lookup records retained as an indexed compiled payload instead of an eager HashMap"
"after_create_session_owner_profile",1,"compact_table.corrections_tolerance","heap_owned_required",0,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","retained correction/tolerance payload required by TypeDuck fuzzy input behavior"
"after_create_session_owner_profile",1,"compact_table.dict_settings","heap_owned_required",24,0,"BTreeMap<String, String>","retained dictionary settings parsed from deployed dictionary metadata"
"after_create_session_owner_profile",1,"compact_table.preset_vocabulary","heap_owned_required",0,0,"Vec<PresetVocabularyEntry>","retained preset vocabulary weights when the selected dictionary includes vocabulary packs"
