increment,run,source_path,yune_page,librime_page,same_suffix_mismatch
increment-4c-opencc-variants,1,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4c-opencc-variants/performance-ratchet/run1/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4c-opencc-variants,2,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4c-opencc-variants/performance-ratchet/run2/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4c-opencc-variants,3,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4c-opencc-variants/performance-ratchet/run3/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4c-opencc-variants,4,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4c-opencc-variants/performance-ratchet/run4/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4c-opencc-variants,5,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4c-opencc-variants/performance-ratchet/run5/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4d-cangjie-cj1,1,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4d-cangjie-cj1/performance-ratchet/run1/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4d-cangjie-cj1,2,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4d-cangjie-cj1/performance-ratchet/run2/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4d-cangjie-cj1,3,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4d-cangjie-cj1/performance-ratchet/run3/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4d-cangjie-cj1,4,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4d-cangjie-cj1/performance-ratchet/run4/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4d-cangjie-cj1,5,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4d-cangjie-cj1/performance-ratchet/run5/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4e-lane-b-exact-order,1,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run1/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4e-lane-b-exact-order,2,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run2/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4e-lane-b-exact-order,3,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run3/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4e-lane-b-exact-order,4,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run4/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
increment-4e-lane-b-exact-order,5,docs/reports/evidence/m59-canonical-jyutping-reachability-parity/increment-4e-lane-b-exact-order/performance-ratchet/run5/candidate_snapshots.csv,中等長度 | 中等 | 中的 | 種的 | 重的,中等長度 | 中等 | 中 | 種 | 重,True
