mode,run,owner_id,module,structure,byte_class,sharing_scope,retained_estimate_bytes,non_overlapping_reducible_bytes,logical_bytes,item_count,mapped_file_bytes,mapping_mode,eligible_private_owner
owned,1,reverse_lookup.entries,reverse_lookup,entries,shared_or_overlapping,shared_or_overlapping,0,0,0,0,0,lazy_unloaded,0
owned,1,reverse_lookup.comments_index,reverse_lookup,comments_index,shared_or_overlapping,shared_or_overlapping,0,0,0,0,0,lazy_unloaded,0
owned,1,reverse_lookup.config,reverse_lookup,config,heap_owned_required,session_or_process_heap,40,0,0,1,0,ReverseLookupTranslator,0
owned,1,translator.entries_by_code,translator,entries_by_code,shared,shared_reference,0,0,0,0,0,compact_table,0
owned,1,compact_table.syllabary_codes,compact_table,syllabary_codes,heap_owned_reducible,session_or_process_heap,3073,3073,0,424,0,Box<str> + Box<[u32]>,1
owned,1,compact_table.syllable_ids_by_code,compact_table,syllable_ids_by_code,heap_owned_reducible,session_or_process_heap,15757,15757,0,424,0,"HashMap<String, usize>",1
owned,1,compact_table.storage,compact_table,storage,mmap_file_backed,file_mapping,13013460,0,0,498564,13013460,byte_backed:mmap,0
owned,1,compact_table.candidate_text_payload,compact_table,candidate_text_payload,shared_or_overlapping,shared_or_overlapping,13013460,0,13013460,498564,0,byte_backed,0
owned,1,compact_table.candidate_comment_payload,compact_table,candidate_comment_payload,shared_or_overlapping,shared_or_overlapping,0,0,0,498564,0,byte_backed,0
owned,1,compact_table.stems,compact_table,stems,heap_owned_required,session_or_process_heap,48,0,0,0,0,"HashMap<String, Vec<String>>",0
owned,1,compact_table.lookup_records,compact_table,lookup_records,shared,shared_reference,0,0,0,0,0,none,0
owned,1,compact_table.corrections_tolerance,compact_table,corrections_tolerance,heap_owned_required,session_or_process_heap,0,0,0,0,0,Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>,0
owned,1,compact_table.dict_settings,compact_table,dict_settings,heap_owned_required,session_or_process_heap,24,0,0,0,0,"BTreeMap<String, String>",0
owned,1,compact_table.preset_vocabulary,compact_table,preset_vocabulary,heap_owned_required,session_or_process_heap,0,0,0,0,0,Vec<PresetVocabularyEntry>,0
owned,1,translator.normal_codes,translator,normal_codes,shared,shared_reference,0,0,0,424,0,compact_table.has_code,0
owned,1,translator.leading_fetch_seed,translator,leading_fetch_seed,heap_owned_guarded,session_or_process_heap,0,0,0,0,0,Vec<String>,0
owned,1,translator.spelling_correction_entries,translator,spelling_correction_entries,heap_owned_guarded,session_or_process_heap,48,0,0,0,0,"HashSet<(String, String, String)>",0
owned,1,translator.spelling_abbreviation_entries,translator,spelling_abbreviation_entries,heap_owned_guarded,session_or_process_heap,48,0,0,0,0,"HashSet<(String, String, String)>",0
owned,1,translator.spelling_correction_surfaces,translator,spelling_correction_surfaces,heap_owned_guarded,session_or_process_heap,48,0,0,0,0,HashSet<String>,0
owned,1,translator.leading_fetch_index,translator,leading_fetch_index,heap_owned_guarded,session_or_process_heap,0,0,0,0,0,"OnceLock<HashMap<String, Vec<LeadingFetchCode>>>",0
owned,1,translator.bounded_upstream_script_cache,translator,bounded_upstream_script_cache,heap_owned_guarded,session_or_process_heap,7200,0,0,0,0,Mutex<VecDeque<BoundedUpstreamScriptCacheEntry>>,0
owned,1,translator.prefix_fallback_window_cache,translator,prefix_fallback_window_cache,heap_owned_guarded,session_or_process_heap,0,0,0,0,0,Mutex<Option<Arc<PrefixFallbackWindowCacheEntry>>>,0
owned,1,prism.double_array_units,prism,double_array_units,mmap_file_backed,file_mapping,7168,0,0,1792,7168,byte_backed:mmap,0
owned,1,prism.spelling_map,prism,spelling_map,mmap_file_backed,file_mapping,24244,0,0,1166,24244,byte_backed:mmap,0
owned,1,prism.corrections_tolerance,prism,corrections_tolerance,heap_owned_required,session_or_process_heap,48,0,0,0,0,Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>,0
owned,1,prism.tips_payload,prism,tips_payload,mmap_file_backed,file_mapping,0,0,0,0,0,byte_backed:mmap,0
