engine,track,schema_id,session_id,owner_id,module,structure,byte_class,sharing_scope,retained_estimate_bytes,non_overlapping_reducible_bytes,logical_bytes,item_count,mapped_file_bytes,mapping_mode,evidence_source,notes
yune,track-a-comparison,luna_pinyin,8,reverse_lookup.entries,reverse_lookup,entries,shared_or_overlapping,shared_or_overlapping,0,0,0,0,0,lazy_unloaded,yune_m43_memory_owner_profile_json,lazy reverse-lookup dictionary is not retained until used
yune,track-a-comparison,luna_pinyin,8,reverse_lookup.comments_index,reverse_lookup,comments_index,shared_or_overlapping,shared_or_overlapping,0,0,0,0,0,lazy_unloaded,yune_m43_memory_owner_profile_json,lazy reverse-comment side index is not retained until used
yune,track-a-comparison,luna_pinyin,8,reverse_lookup.config,reverse_lookup,config,heap_owned_required,session_or_process_heap,40,0,0,1,0,ReverseLookupTranslator,yune_m43_memory_owner_profile_json,prefix/suffix/tag/comment-format state for the reverse lookup translator
yune,track-a-comparison,luna_pinyin,8,translator.entries_by_code,translator,entries_by_code,heap_owned_guarded,session_or_process_heap,43128159,0,0,191984,0,"BTreeMap<String, Vec<Candidate>>",yune_m43_memory_owner_profile_json,heap dictionary rows used by source-YAML and small test translators
yune,track-a-comparison,luna_pinyin,8,translator.normal_codes,translator,normal_codes,heap_owned_reducible,session_or_process_heap,869970,869970,0,19975,0,HashSet<String>,yune_m43_memory_owner_profile_json,normal code membership retained for spelling correction gating
yune,track-a-comparison,luna_pinyin,8,poet.entries_by_code,poet,entries_by_code,heap_owned_reducible,session_or_process_heap,4568810,4568810,0,191984,0,Vec<ModelEntry>,yune_m43_memory_owner_profile_json,sentence model entries cloned from table rows
yune,track-a-comparison,luna_pinyin,8,poet.lookup_index,poet,lookup_index,heap_owned_guarded,session_or_process_heap,250112,0,0,31262,0,SentenceLookupIndex,yune_m43_memory_owner_profile_json,sorted code-range index used by M40 sentence lookup
yune,track-a-comparison,luna_pinyin,8,poet.vocabulary,poet,vocabulary,heap_owned_reducible,session_or_process_heap,82187074,82187074,0,421966,0,Vec<ModelVocabularyEntry>,yune_m43_memory_owner_profile_json,normal preset vocabulary used by upstream sentence graph
yune,track-a-comparison,luna_pinyin,8,poet.abbreviation_vocabulary,poet,abbreviation_vocabulary,heap_owned_reducible,session_or_process_heap,77500980,77500980,0,421966,0,Vec<ModelVocabularyEntry>,yune_m43_memory_owner_profile_json,abbreviation-only vocabulary used by M42 guard rows
yune,track-a-comparison,luna_pinyin,8,schema.config,schema,config,overlap_estimate,logical_overlap,1974,0,1974,2,0,schema_reload_signature,yune_m43_memory_owner_profile_json,deployed YAML config is parsed transiently; retained bytes are reload signatures
yune,track-a-comparison,luna_pinyin,8,schema.processors,schema,processors,heap_owned_guarded,session_or_process_heap,2599,0,0,2,0,SessionState processors,yune_m43_memory_owner_profile_json,processor and segmentor state installed from the selected schema
yune,track-a-comparison,luna_pinyin,8,session.userdb,session,userdb,heap_owned_guarded,session_or_process_heap,24,0,0,0,0,UserDb,yune_m43_memory_owner_profile_json,per-session learned entries; empty in clean native benchmark runs
yune,track-a-comparison,luna_pinyin,8,runtime.session_state,runtime,session_state,heap_owned_guarded,session_or_process_heap,3214,0,0,1,0,SessionState,yune_m43_memory_owner_profile_json,active native session runtime shell excluding shared translator internals
yune,track-a-comparison,luna_pinyin,0,process.after_ready_working_set_unclassified_lower_bound,process,after_ready_working_set_unclassified_lower_bound,unclassified,process_memory_proxy,278863182,0,278863182,1,0,process_memory,native_inprocess_benchmark,median after-ready working set minus non-overlapping reducible owner rows; lower-bound proxy only
yune,track-a-comparison,luna_pinyin,0,process.peak_working_set_high_water,process,peak_working_set_high_water,unclassified,process_memory_proxy,444448768,0,444448768,1,0,process_memory,native_inprocess_benchmark,"maximum observed peak working set in this benchmark process; includes allocator, loader, mappings, and overlap"
